https://esra.fbkultur.uni-hamburg.de/explore/view?entity_id=786,centroid,spread,skewness,kurtosis,loudness,sharpness,roughness,flux
0,787.37294968264,477.27261509732,4.7607939468902,62.764893651939,67.278380067109,0.05336031074196,0.011136390173398,12.286207145502
1,913.12006687357,483.74221906575,4.044704866664,58.010428155228,67.159169883549,0.047952763419086,0.0097367246076433,11.067940758138
2,802.42557069817,410.20050788916,3.5361187623499,45.578326692667,67.221808925865,0.051412744353429,0.017465120282069,8.2301059510232
3,778.99472486406,363.46803229886,3.3525987838404,44.678524171756,67.040283505331,0.049816757039513,0.016847389058238,7.4027899783587
4,825.73254245939,373.07958504984,2.8121692276621,36.628997155028,67.164287289549,0.054249105500089,0.018624513252993,7.3520108090344
5,676.00246647274,358.40618434128,6.9055555693435,89.694242815196,67.247355610444,0.050488331379812,0.017646199402797,6.7284716969582
6,705.56532378639,434.28297138549,4.1399832707036,43.942249124866,67.299017390711,0.046812952061965,0.013452306866241,3.6636564874466
7,672.31905590638,347.55061545978,5.163737855877,70.445071067049,67.134904602434,0.041663269267816,0.014293433782439,2.685234969073
8,611.43489613892,312.57150958584,9.8316912015579,190.67007779189,67.023775787246,0.03607874617769,0.0094339801064182,1.9866290078926
9,758.24616473424,434.11238990358,5.2727023133242,76.547591483364,67.011105331672,0.034138887470965,0.0049454998457434,5.6861991449335
10,771.71180851431,475.8091712268,4.342549802058,66.164030071527,67.080125525301,0.037426886484927,0.0057771317547544,4.58494589809
11,961.95035382291,579.30637656861,5.3444377664666,77.396004388969,66.989423007847,0.031400848929403,0.002478159501281,2.0424009126017
12,729.98195729117,619.15814383793,7.6976604001565,105.49130257642,66.961909778185,0.029206921436586,0.0021471962004748,4.4419357477652
13,592.1105686167,488.5216867852,8.0066298570694,127.04549310209,66.923266954494,0.027854577772488,0.0033299006170029,4.0231216447143
14,686.72810918101,440.93767056715,8.5468531834514,142.92716175371,66.922052783704,0.028275839547308,0.0036364885583478,11.034202544967
15,869.24705248046,401.18735673055,3.3003729541456,44.948291453236,67.093289474899,0.041318958936601,0.0098246691100878,23.534638425473
16,1058.2318808637,371.3998115863,0.88378744073385,18.965042444765,67.291026414862,0.071142482863269,0.039516113667183,14.799990128608
17,1199.7468696163,339.80952825954,1.5656281562636,50.187467622341,67.324564286352,0.074393937296087,0.030700765837621,5.5562226638348
18,1083.0156164891,462.63907674353,3.3002548411223,45.029505820838,67.315865997416,0.058800170619117,0.013242907953172,7.2238053360722
19,1026.880637408,458.37887004734,4.0137153499949,43.10716581447,67.243189535154,0.053129781052354,0.012544399944527,11.660957143832
20,927.3404728499,388.05329604952,3.9916845336494,53.439623701632,67.45679992328,0.066326046717436,0.020181669411699,45.611849037109
21,1114.3694463162,576.50378203153,1.3312978499699,10.627963066468,67.915298710432,0.13764776387747,0.090287506893227,32.359572397165
22,1395.2994832049,586.54918524952,1.3513441023205,14.130032060403,67.678866297926,0.1076583397349,0.061531355943044,5.2478629112887
23,1456.9616011714,531.13046120079,1.0444997327755,15.819329316193,67.390758352283,0.078600737792163,0.044592215469649,3.7961573212042
24,1418.8545016916,554.80206075247,0.84638697051576,13.301537020784,67.351439097573,0.071813066838338,0.040455479859536,5.3369963216275
25,1311.4374972251,572.82206497156,1.3220426055913,14.485860565256,67.352373228523,0.071000565343132,0.035619235915972,4.8352640958777
26,1213.6725451009,606.08330584966,1.6748516464433,15.035720042146,67.313077778061,0.069691327658922,0.031568376304318,3.3354055133881
27,1256.0579596617,623.07334525957,1.9321142848321,16.607118555824,67.306889906526,0.068175893901865,0.025612272225517,2.2824505696558
28,1299.9868063607,633.17866981657,1.9532951099414,17.71713900095,67.251079491007,0.065897705806888,0.022673111093412,9.5479613630673
29,1213.13909756,617.31577553514,1.8959256101737,17.0080269035,67.509962347363,0.084439476380519,0.040645141608824,9.3562040079385
30,1274.3813423721,601.31844302662,2.1308742489468,19.823253701946,67.39433917438,0.083546415133466,0.037447172844718,2.4724941635102
31,1233.007575118,592.90770834568,2.0385383600009,19.314158853845,67.41846910611,0.080028681037294,0.037413268243978,1.8813076832259
32,1257.8221904024,600.72313018348,2.064789527657,19.826493588465,67.288416237011,0.073395695855404,0.030022984597013,1.1958993132599
33,1219.2766489031,605.6869390086,2.0749969383173,18.293989220859,67.223599911203,0.071219393268514,0.030791691423312,2.121114034552
34,1211.2907109642,622.56788988582,2.2212396304018,18.729556988717,67.178659667122,0.070472445155999,0.029484766647784,1.6114953280685
35,1217.5045616619,613.93633101347,2.087226933964,17.635197764691,67.109360768483,0.069683011312389,0.030458561034241,1.7522448815554
36,1236.7867319758,609.07517747213,2.2341908775791,19.803998404165,67.111352807716,0.070172774931685,0.029949993518565,1.248016390769
37,1248.2172060895,611.34191262891,2.1295950499985,18.780243395674,67.073879788415,0.067015110447682,0.028143205917319,1.1245879301343
38,1291.4697908398,615.55223708458,2.0172300959557,17.963457619784,67.081725925061,0.065804214596892,0.025385460639151,1.9593682921433
39,1293.8675301016,611.75665516982,1.8528877925384,16.428328652915,67.115812912022,0.065744966351104,0.027660063319868,10.706864137256
40,1308.9849364699,571.59571065739,1.0378543762913,12.302090869387,67.342489342706,0.072372608721625,0.038635406126631,18.174231545459
41,1315.433053131,504.48611295559,0.42552803443713,10.793992318326,67.33194271872,0.069979373730504,0.029811154282436,10.140866366202
42,1252.1152348086,563.79409498036,0.38257855381936,7.184887673067,67.168479236168,0.051472986087002,0.016278013891943,7.7179510093891
43,1170.1648440376,594.48897061471,0.45299361949112,4.738019584858,67.281551605662,0.056475228625977,0.02324063719458,6.4382158164411
